"","CC.Line","Animal_ID","Block","Freezer.days","Blaze","weight.change","log.spleen.CFU","log.spleen.CEQ","log.lung.CFU","log.lung.CEQ","Eotaxin","GCSF","GMCSF","IFNy","IL1a","IL1B","IL2","IL5","IL6","IL7","IL9","IL10","IL12_p40","IL12_p70","IL15","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"23","PWK.PhJ","PWK/phJ-3",1,0,0,4.115,6.949,7.635,6.28,7.765,1.26292546933183,0.346352974450639,0.943988875073772,1.17260293120986,2.52375946944571,2.50197620302468,0.942008053022313,-1.52287874528034,1.10037054511756,0.404833716619938,1.79685174904989,0.170261715394957,0.419955748489758,-0.508638306165727,0.66838591669,0.0827853703164501,1.94270236888867,2.72356238535573,0.951337518795918,2.68469279339858,2.35671406058339,0.517195897949974,2.86596814831917,2.30777406851709,2.7321685116889,2.42283596877952,2.2266256785958,1.41346741298582,0.977723605288848
"24","Wsb.Eij","WSB/EiJ-1",1,8,1,-30,6.785,6.286,8.415,9.292,1.21058602490516,3.74382792173505,1.14395111642396,1.83244504117411,3.44462398957363,2.93986854445951,0.719331286983727,0.00432137378264258,2.06914988984878,0.103803720955957,1.87892373396757,0.783188691075258,-0.638272163982407,0.923244018630276,0.505149978319906,-0.0268721464003014,2.12907732425274,3.3064378953447,1.69653111996961,2.8890382440218,3.00971852909397,1.87203966797329,3.2545577441017,3.58340736664664,3.05532862933861,4.12956325821104,1.26481782300954,2.31312871384519,1.25309558584903
"25","Wsb.Eij","WSB/EiJ-2",1,8,1,-30,7.301,8.014,8.314,8.997,1.48415742436538,3.93605608478288,1.32221929473392,1.57795112772976,3.47527011597156,3.09877520543718,0.679427896612119,0.130333768495006,2.57608784178495,-0.0222763947111523,1.85479169405399,0.9698816437465,-0.638272163982407,0.923244018630276,1.33385014510255,0.881384656770573,2.16893921383598,3.6802248856998,1.78979216773068,2.93217939998684,3.18807592432376,2.11951981786819,3.15204360248765,3.76011324012464,3.69267334298648,4.1557173203033,1.11494441571258,2.45726103246542,1.01029995663981
"26","CC001.Unc","CC001-1",1,0,0,-5.673,5.36,6.729,5.74,6.445,0.518513939877887,0.606381365110605,-0.119186407719209,1.55022835305509,2.09871293057888,2.03450813677917,0.726727209026572,-1.52287874528034,0.924279286061882,-2,1.8624891669059,-0.0132282657337552,-0.638272163982407,-0.508638306165727,-0.537602002101044,-0.180456064458131,1.77778918743487,1.95511023097055,0.389166084364532,1.98600993185326,1.77283492723902,0.439332693830263,2.85976855787437,1.41564097989615,1.30685374869301,1.97644168937884,1.01241537476243,1.24204423936955,-0.0604807473813815
"27","CC001.Unc","CC001-2",1,0,0,-6.794,6.013,6.926,5.476,6.819,1.40823996531185,0.824776462475546,0.602059991327962,1.11193427633268,2.30126879196606,1.766264090652,1.09412159584056,-1.52287874528034,0.766412847112399,0.432969290874406,1.92603359667884,0.505149978319906,1.04296907339318,0.164352855784437,0.505149978319906,0.0755469613925307,1.92531209149965,2.08877376731045,0.585460729508501,2.67784410763218,1.89459294792296,0.127104798364808,2.85360696385444,1.94753174569559,2.36193549242115,2.05918461763137,2.40517554621799,1.22063101944809,1.07408468902824
"28","CC001.Unc","CC001-3",1,0,0,1.596,6.149,7.273,5.481,6.966,1.31701810104811,1.17897694729317,-0.119186407719209,1.09933527768596,2.21895541772872,1.50704587242733,1.25575478664304,-1.52287874528034,0.82865989653532,-0.0222763947111523,2.01460453343605,0.613841821876069,1.30813737863804,-0.508638306165727,-0.537602002101044,0.0413926851582251,1.83046035003097,2.07445071895459,0.357934847000454,2.66416229476199,1.90584982664232,0.271841606536499,2.73336581250928,1.62314587463794,1.97639583661188,1.97644168937884,2.1827569310404,1.0982975364947,0.920645001406788
"29","CC002.Unc","CC002-1",1,12,0,NA,6.94,6.553,8.301,7.958,2.34803212618249,3.99618320032566,2.06677303708503,2.44611758136797,4.03757747867406,3.07547761472054,0.807535028068853,0.577491799837225,3.4550200662953,0.549003262025788,1.66922387393081,1.23274206272074,0.91487181754005,1.43663963169266,1.25163822044821,1.57403126772772,3.10183296230458,3.81597865476456,2.22909282945599,3.18079945560002,3.89002958616342,2.42917067879397,3.40490552315673,3.6668389029167,4.43838932993257,4.10344074534124,1.90558002823524,2.65118106244469,2.39896373612552
"30","CC002.Unc","CC002-2",1,12,0,NA,7.386,7.849,8.561,9.159,1.51877706892677,3.91019897213157,1.30492116190089,2.40318917890767,3.64416177394374,2.93196103523084,0.885361220031512,-0.0268721464003014,3.0615617929326,0.198657086954423,1.84041977773649,1.17318626841227,0.161368002234975,0.978180516937414,1.02077548819356,1.53529412004277,2.73364657956777,3.69443934573922,1.86858566655877,3.04457895487661,3.03562182597592,2.21966310073702,3.23263277651551,3.7405537370389,3.9264885590499,4.11476372762428,1.14332712999205,2.5311850301845,1.41229250932305
"31","CC002.Unc","CC002-3",1,12,0,NA,7.083,8.045,8.398,8.06,2.34364488025251,3.93817134935806,2.04135320204697,2.20574554094266,3.80564899595332,3.16469183011261,0.671172842715083,0.307496037913213,3.3834958087,0.376576957056512,1.67531998333929,1.00130093302042,0.419955748489758,1.2559957267224,1.02077548819356,2.14373282313869,2.88918400676462,3.76714695738605,2.15198239545747,3.20601047169571,3.39721326056743,2.34423503455164,3.39977579464196,3.71877812106879,3.90338412187649,4.14746051436761,1.59900923982334,2.50838156225162,2.11697282286045
"32","CC003.Unc","CC003-2",1,7,1,-24.173,7.403,7.759,8.093,8.462,0.887054378050957,2.64121623358033,1.00902574208691,1.83613414946537,2.85675909061807,2.30928941065526,0.626340367375042,-0.522878745280338,2.58578773727363,0.0453229787866575,2.01021512521423,0.117271295655764,0.478566495593843,0.859738566197147,0.66838591669,2.01300585001574,1.38756777941719,3.40198781978879,1.37383114507383,2.49648682929215,2.26960633083948,1.26458172923808,2.9389747954043,2.94266767944563,2.86337639997542,4.10872464158949,1.41830129131975,2.07986833517517,0.968949680981343
