"","black","blue","brown","cyan","darkred","green","greenyellow","grey60","lightcyan","lightgreen","lightyellow","magenta","midnightblue","pink","purple","red","royalblue","salmon","tan","turquoise"
"CC018cs",0.46018232951749,-13.7168696582542,-19.099133483046,4.89519353410406,5.28817620010698,8.18177497572784,13.0493247403049,-0.48330935852223,-3.27721156284559,0.207134909404169,1.4474528369848,-18.1227853211481,-5.92648597900723,-1.399067403661,-14.5433655209707,-4.5325188113085,-0.235685058810522,-11.7992858693599,8.50847843966116,19.8063907527914
"CC019cs",3.55427245051262,-16.4183465045067,15.9836710412872,-4.4225513107317,4.45851675400304,-15.0095299634956,8.03523446063547,-1.93609489658376,-3.43961997017298,-5.01109431091185,-5.15426730009803,-13.9903723887832,-7.77242501989313,-1.84872012880969,-13.9730415437442,-8.79796414502207,-0.786788231757214,-13.9524325314084,0.172971734683156,6.43635824894786
"CC021cs",-7.50756765028749,8.71407530594021,-16.02041711693,0.479143957310965,-3.07941496455854,4.0958631385578,-9.33984930853091,-0.464179287630966,4.04071681700766,4.60760373549786,3.57199148877833,12.7077643889666,-3.66359838737571,-1.26263080368374,-2.05836676173198,3.13613395123081,0.708467767416416,3.99344100066697,5.23508555534135,-4.73549236017139
"CC022cs",-7.50756765028749,7.10490811436424,0.372549583755069,9.40832656957827,-6.07519847991944,8.91396968513467,2.13536942098254,2.09105061675136,-0.718214957662496,-0.121958163604724,-3.35669476803185,-12.2582473833331,-1.42507188918424,-1.88743200549417,5.2266133194184,2.54599552624103,1.88918220763245,5.83769120085882,-0.652141556225508,-7.53271801129569
"CC023cs",-0.014326884880582,-21.3788831738695,28.9565762678088,0.45875620339985,7.94563704550434,-9.31107695280477,-2.25177270801968,-1.45739527365233,-2.23619481397321,-5.01109431091185,2.55339286192493,1.67571693967683,1.91689017908016,-2.33595188838091,6.04343065073634,-6.46648467316215,0.645463176559707,-2.55226918687221,-10.4209487573242,-8.29980420752938
"CC024cs",-1.0274434894495,0.721455061174193,-7.72034415698718,0.757967886380618,2.01007178196458,7.54279230455163,7.96665676740531,-1.31025312217032,-3.35401741325044,0.720803907555131,5.23005090471324,-11.4393429649803,-0.760472242604521,2.01921182039068,-14.5433655209707,-8.47406386232653,0.792434654863521,-13.9524325314084,4.69484862420368,18.2962002640179
"CC025cs",3.85134069928418,-7.80251458400659,16.0090497862313,-4.63085075184519,-5.71119838346013,-6.02506725638201,-4.54427817891334,0.683980281047071,1.0334115773119,1.3516010544427,5.5468572091195,-3.8964911081757,-4.63917194610987,0.764068969869946,1.1008977708969,-9.52990923457719,-3.42943490910726,-4.42131011055071,1.08935134762253,9.16963331439731
"CC027cs",-1.49298303571854,-13.2513603945716,2.92666854320565,6.97102006622342,2.09698896449728,-15.0095299634956,-15.7215192709098,-2.05761683315448,-4.52232279769133,-2.79934196884278,-1.28886914681877,-7.97610498032665,-0.792129859807105,1.89187078135167,6.23355854607288,2.76769599681775,1.24419795991089,4.00239502872027,-4.92209502637307,-13.5373403388505
"CC028cs",-4.06584583648825,8.94955460576612,-3.38581926976309,-0.960453250161851,-4.93246683140582,1.95177097297493,-7.37399243685383,2.57043228347014,1.18934310733447,0.571330012594146,0.78434565106667,13.112941604023,6.23476393334786,-0.329916778010066,0.87095834027274,1.28317332348422,0.840819848069495,3.71569476048785,-1.51357437153347,-8.9633684288455
"CC030cs",-0.000734872012711241,18.2453055444074,-34.004176431378,2.32958827061739,-6.09006765218927,6.93243196200111,-2.01204307693386,0.19306997202644,1.38747504527218,4.24737422200122,-2.17712372771373,1.76013251542151,-5.32834986596328,-0.147201894534637,-7.50960178006801,10.1941732043744,-0.017216726488525,-0.181705139703997,4.66943954879133,-2.66971157279744
"CC031cs",1.96076990560853,14.8258455549318,-15.6363957596089,7.76334682292977,6.40270547309713,1.92233464702281,-6.05501959610845,1.57666533560318,2.90436161261413,3.50331359593436,4.61610308695179,10.245285998879,-0.554858208345916,-0.584622788111384,-5.50846463402866,4.02303461287476,-1.46162595159481,0.728387424661487,8.00750503124352,7.64722653751272
"CC032cs",2.91150655149694,0.252143382576693,-17.442598285881,-2.46082320788113,9.09710673657701,-7.59100925873146,-1.21209193872081,-0.308239286985045,-3.66326997926751,-5.01109431091185,-4.68352715004503,-6.5091512799672,4.74860132005827,-5.70840510022058,-12.1412852460686,-1.49557319332756,0.107893636550031,-13.9524325314084,-0.126392616929402,7.3233818212323
"CC033cs",0.0510004104435985,-3.92670171283799,16.3472991075032,-2.02710254411573,-1.29890594165853,5.11137103821095,9.4240838672975,-1.87004075965193,-2.48963496092391,4.60760373549786,0.628611199173851,-10.5625406227932,-4.92242350586077,-0.0892833184771761,5.80925812668464,6.51263457979922,0.854691391056679,-1.12822180419614,-3.22359975206028,-6.77296809553628
"CC034cs",-3.18688525497302,6.85816651092399,2.33710216410359,4.31143123929392,-3.74803910425623,-11.2446990331607,-15.7215192709098,1.26267788895384,2.18707113750367,-0.260223256887533,1.03646160449637,6.25009459444524,7.81935322455921,-1.11576545676174,5.00729057109123,3.62986211873558,1.13395219623138,2.27616416206457,-0.0844879084280789,-6.93067367378913
"CC035cs",0.653756144837182,10.5778493346403,14.2830040312017,-2.10304728023911,2.23733584942107,-8.68987041274775,-5.72048595003822,-1.40560624560786,1.77759498264956,0.714814018728193,-3.44176791739688,-18.1227853211481,-0.475427572905134,-1.59767493402725,2.43580234461757,-0.374336814607664,1.31519431816115,2.60415137855805,-0.22697668536491,-13.5373403388505
"CC037cs",2.35223767406126,5.56003110561486,-24.262293513016,7.31274443385789,-0.171131358075642,-10.5481810074933,-8.82586989384739,1.87846614149459,1.03117364279588,2.59327891986017,2.57401412213407,1.50538970305946,2.7497657082724,0.587239391684099,-2.83982851607338,5.25791530108628,0.944124348835731,6.22683050737376,8.38788305627491,1.45627501599691
"CC038cs",-1.67290461134035,-22.4996647062964,19.7473319432078,9.40832656957827,-1.89913401559707,10.6675381482097,3.24545269719336,0.928164385068285,-2.98737229086604,-0.15598597678808,-4.1305102578491,-2.10682414340715,0.635613868664489,-2.66880443404293,4.28026740708019,0.0556639036544369,1.70962897216849,4.25192435107383,-2.61575405007013,-5.23899087037509
"CC039cs",-2.01916288618746,4.37278026571372,-36.8368140409806,2.19360340162972,9.09710673657701,11.5219941488196,9.68819672483274,-0.411196170454222,2.09989546961767,2.86995994605918,2.19412852030318,-3.87591650286673,-1.96045526664143,-2.32609586790683,-8.69152362257623,-0.386986128264776,-4.26439829736765,-3.11102815065947,7.2323169253414,20.0768218396976
"CC040cs",-1.12904733803833,-23.2107535088302,29.9099687347404,-4.18271757055881,-2.48858665151049,6.72888942252122,9.52132869048442,0.356648340736816,-4.57654186590518,-1.48026117454142,0.811694846450187,-15.3956570910346,0.81830553856254,1.89815384295843,6.66703056788228,-9.95326419554608,0.897111443983493,-2.96729094410754,-10.4209487573242,-7.55567038844048
"CC041cs",-3.21007367142777,-5.85084124758171,29.9099687347404,-1.21271841192966,-4.14990677995582,10.6363337010129,10.6550291847468,-2.11947540024778,-4.83111162045723,-1.20385664552248,-2.48582480422799,-9.61125505702349,-1.43823654094564,0.0246760402947415,6.92948666766463,-8.71161293229766,1.31827048511062,-2.36910806347575,-10.4209487573242,-3.97559034001634
"CC042cs",2.32754043548733,-27.6907698213532,29.9099687347404,-4.48296579686924,-2.45161656940126,5.12360917994737,13.3639691702527,-3.99102614997061,-3.42862129852418,-1.03267698098432,-2.07676365482437,-18.1227853211481,-7.77242501989313,1.15655279548838,6.92948666766463,-10.7804670974558,-0.650671978361219,-4.56715276039011,-7.81548028194692,-1.09907270078558
"CC043cs",-7.50756765028749,3.48153074243641,-16.4866998321652,6.57517688237573,7.74238705978367,2.51045651455611,-9.03580766712637,2.16949048557328,2.53248845850526,0.625460484527122,0.441768361755509,11.9657879173188,4.14398418566606,-1.34821379343962,-1.41958734347781,7.67828343144396,0.4414893947191,0.94634497232156,-0.479041597131851,-4.89075398687908
"CC044cs",1.01987145263953,3.67623388068638,-12.5345445935941,0.0935611000321587,0.629791299129183,-14.9300994891037,-14.7923443911966,0.589093893656464,-0.396306503526126,1.73739118297655,-0.990378355690899,-7.01530745535502,-2.08576374324851,0.985899755883336,1.85153709587064,10.6879554567097,0.189717871303097,4.47307622308883,3.24564358840474,-6.55940323059272
"CC045cs",2.73938438750285,-12.5080184868416,10.922193714567,-0.565887005514846,-3.83552545491903,-15.0095299634956,-15.7215192709098,-3.14466196101671,0.385540389287543,-4.88391649590507,-1.01498462577052,13.112941604023,-6.29771663164636,0.287114069906841,6.12313706165799,0.97690639689205,-0.248305870285118,3.3264335474892,-0.308530209115106,-9.45893358866562
"CC046cs",2.09438924924205,1.70580494373682,-13.7210093153611,9.40832656957827,1.84643418798421,-14.4669690050833,-15.6737851614887,2.27285669143278,-4.83111162045723,0.255894076120152,0.730312275185554,5.75086869203471,8.37260380878334,-0.9271879188692,0.816078970145698,10.6879554567097,1.64995245449616,3.98669240790882,5.67483877957907,-3.55518792742713
"CC047cs",0.942564469761483,2.10783063624502,23.7981134950557,-3.79099184234886,-5.12865495409625,0.484344750686108,14.0930502559784,-3.99102614997061,-0.997535665799718,1.63542345430914,-1.26473983766688,-0.522172594841308,-2.91283020707038,-0.142502311876794,3.67362250400316,-5.10205841335446,0.55560973987478,4.18367537628597,-4.35156326847475,-13.5373403388505
"CC051cs",0.930112214234476,4.50456074210049,3.22270895847038,-3.96760647662826,-5.66815423507522,6.97505436431296,-10.5522683107328,-1.77139757445187,4.04071681700766,-2.54690280767451,1.83408310231411,0.985870167472804,-0.0392891147905865,2.01921182039068,-2.58987179502205,-8.9827565861473,0.920443654880571,2.36173088423041,-0.646432993933722,10.9490620047806
"CC056cs",-5.9435951187156,13.4808296582648,-6.09896679226035,-3.34336404422122,-4.91954541958612,4.6359804404534,1.76903781072055,0.451606421710557,4.04071681700766,1.82146765619119,-3.594070797638,-9.23530904129538,-6.00439370523924,-1.01061834193062,6.92948666766463,7.20727926985592,1.88918220763245,4.50137712496113,-2.35460636917061,-8.44750877039373
"CC057cs",-1.43663420202488,19.8370404837484,7.84504269972218,-2.71878784012387,-5.25894511610244,-9.39527826824237,4.34004604336633,1.29866807952836,1.49773598244918,-1.06895722847967,-5.15426730009803,4.49600661100376,3.54627263825448,0.0995940062766653,6.146284298615,5.88337111890233,-1.22261416866387,6.22683050737376,-2.38441080837941,-12.0710998978345
"CC059cs",0.207190216825467,2.83835023037253,0.692011036194401,3.99224761283866,-1.13698450751613,-8.77444170952989,-13.1901081004316,1.03307025644173,0.328763280249382,-0.788170506222415,2.47612925313602,8.80045096316966,8.12791258458528,-2.11968583169811,4.65199852833641,2.09161876649883,0.503890060102145,0.924941397962392,0.900372457583238,-0.561020914197712
"CC061cs",-5.35234730703426,10.5863274966636,-0.417881077185957,2.25182176017985,-4.34601535485037,2.62027265819155,-14.9402176165152,0.922800230308779,2.98125947657864,4.20796854694305,5.8554062398578,8.5488950381728,8.37260380878334,-1.50581566335281,-2.3177171549567,1.99305468988735,0.964053566404563,1.20951933573606,3.30212821446222,-3.17337860474628
"CC065cs",-2.0882609460766,-5.87821037903107,21.2348464816593,-3.42991599823286,-5.97129646656515,4.99260222559459,14.0930502559784,1.84531425573149,-4.83111162045723,-1.59035690940829,0.704094254821188,-8.24701199297452,7.16453875631437,-0.643943067282608,-10.9340139712484,-10.7804670974558,1.88918220763245,-12.6989745812534,-9.42687847927084,-1.22977004902767
