"","spleenCFU","spleenCEQ","lungCFU","lungCEQ","Eotaxin","GCSF","IFNy","IL1a","IL1B","IL2","IL6","IL9","IL10","IL17","IP10","KC","LIF","LIX","MCP1","MCSF","MIG","MIP1a","MIP1b","MIP2","RANTES","TNFa","VEGF"
"CC011cs",6.539,6.93033333333333,6.60266666666667,7.26433333333333,0.878447834451081,1.2352602165987,1.88197887141142,2.08775388328332,2.11344631877721,0.994774711306077,1.71428854333004,2.05649867430613,0.53907667195525,1.42093697904309,1.98775442696583,2.21316527812947,0.757832745808422,2.56685953873434,1.71656160394598,0.469055038214392,2.8763484208488,1.6310628984547,1.60491354970817,2.062441449691,1.12021534057621,1.33885477381523,0.342761695080261
"CC012cs",6.48433333333333,6.53466666666667,6.486,6.94833333333333,0.772945729477133,0.512930275593029,1.6996658436919,2.47778904667783,2.3667586171994,0.648767210356214,0.792731838727194,1.72873242916177,-0.57365739812576,-0.102727739411309,2.26424052292502,2.32309735780981,0.316002608868876,2.39404366961328,1.61757391383601,0.42592561647005,2.89609576643943,1.95531990530282,2.01942849185439,2.10383457914709,0.422238219040617,1.32566659228595,0.0457964704050625
"CC013cs",4.443815,6.013,6.284,6.7895,1.45933200357845,1.67261116916649,1.22401504356404,1.94273987633813,1.58973648380324,0.49927351430762,0.600624801514556,1.75581918826616,-0.523845995168937,-0.726728668260935,1.81871447202247,2.20789726844325,0.393942675470462,2.4885947814922,1.56826367119235,-0.280865293102275,2.8074770635088,1.50475421481613,1.61612502904122,1.77146886584613,1.73875221145117,0.575543894536032,0.0694985070163179
"CC015cs",6.996,7.2705,7.4145,8.4235,1.05826003968704,2.36774566212325,1.5123789699894,2.96204465112714,2.45315533499027,0.886571650452567,1.73797070630489,2.08520448747187,0.599778862896029,1.11499186087611,2.21089092622604,3.11766192712728,1.06365835414593,2.79876845315933,2.740853213421,1.60807070078896,3.04241793048627,2.86440441497574,2.85167417450093,3.30713742202442,1.4377219843676,1.96227109364559,0.807537662286347
"CC016cs",5.69766666666667,6.18033333333333,6.39866666666667,6.741,0.973382519470529,0.845552419524359,2.46867995698571,2.28429738723268,1.60920672193699,0.949270547625773,1.37065482273807,2.1067182972769,-0.0397200407565746,0.687847524392697,2.20180810380676,2.22204968174739,0.517443216924958,2.58762636468456,1.84882216522057,0.293498661349533,2.93498100072746,1.61642260827854,1.7227084331017,2.01978386883166,1.85419423422259,0.978386686425031,0.0721697473289498
"CC017cs",7.0305,8.0355,8.3495,9.105,1.6068979675517,3.98564209925188,1.43251347211608,3.49120451183749,2.73296054697384,0.370378661653885,2.85698470901119,1.80004026647952,0.686616042578531,0.671541744942896,2.43103153221471,3.62538719280415,1.52148815578711,2.75604851990921,3.32568249574829,2.10896179542511,3.08638349790898,3.76379327439604,3.88178825772331,4.13427906037411,1.47926005856419,2.49062507139259,0.869760065522967
"CC018cs",8.0695,7.31,7.034,8.0775,1.24551182659129,2.41233388561623,0.862884374383119,2.32194353968042,1.90419985577267,0.929942752814734,2.0960212715394,1.82537262018316,0.102127839240076,1.5853638431609,2.04011701531758,2.71147303692867,1.06153689311874,2.690827474062,2.49277087603275,0.699611810763635,2.8205849047944,2.45521495793149,2.70047783176242,3.04095565732833,2.15129100972622,1.53339437606933,0.93970278480541
"CC019cs",7.33133333333333,7.55566666666667,7.08966666666667,7.50266666666667,1.09233125812237,1.16662301974297,1.26347627589639,2.54048158515855,1.72467898009021,1.2144139057497,0.90515776320268,2.27994860983747,0.567726607736618,1.20965634865978,1.83338572966412,2.74211980839984,0.793100266473047,2.41081371575122,1.7791253300248,-0.223572016295916,2.75162200881089,1.92862904061532,2.0561755178181,2.35407599142175,1.38396637583333,1.44219561705328,0.593147379264129
"CC021cs",4.68266666666667,5.92566666666667,6.54566666666667,6.833,1.88175811811567,1.35666495001567,0.95967243303469,2.30964522570177,1.86842271314613,0.824478438775398,1.4957812396389,1.63568771522159,-0.105986557952098,0.260601742287431,2.23828315747661,2.66489785488915,0.856082318501403,2.76923001828207,2.38818134148033,0.406610297402374,2.89842418559539,2.27609329514385,2.44801100662605,2.66676382340298,1.80493447083466,1.21490721647172,1.30808688304924
"CC022cs",6.89166666666667,6.97733333333333,6.512,6.64366666666667,1.82835796852448,0.672957273089791,0.691552060097782,1.7289241585288,0.286001835544432,0.912818198905973,0.683556771588818,1.95534413728012,-0.418270224115005,-0.510225812647952,1.77565329196072,2.00946970569086,-0.0457574905606751,2.46329350657831,1.26320841152619,0.15447419315479,2.6567364071558,1.67605670576792,1.51576886168571,2.1046040157232,1.1973041919133,0.707615253890912,0.89637019300572
